S.No.,Song,Artist,Writer,Album,Year,Lyrics
1,"""18""",One Direction,"Ed Sheeran, Oliver Frank",Four,2014,"[Verse 1: Harry]
I got a heart and I got a soul
Believe me, I will use them both
We made a start, be it a false one, I know
Baby, I don't want to feel alone

[Pre-Chorus: Zayn]
So kiss me where I lay down
My hands pressed to your cheeks
A long way from the playground

[Chorus: Harry]
I have loved you since we were eighteen
Long before we both thought the same thing
To be loved and to be in love
All I can do is say that these arms were made for holdin' you, oh
I wanna love like you made me feel
When we were eighteen

[Verse 2: Niall, Liam]
We took a chance, God knows we've tried
Yet all along, I knew we'd be fine
So pour me a drink, oh, love
And let's split the night wide open
And we'll see everything we can
Living love in slow motion, motion, motion

[Chorus: All, Zayn, Harry]
And all I can do is say that these arms were made for holdin' you, oh
And I wanna love like you made me feel
When we were eighteen (Eighteen)

[Outro: All, Harry, Niall]
I wanna love like you made me feel
When we were eighteen (Eighteen, yeah)
I wanna love like you made me feel
When we were eighteen
[Pre-Chorus: Zayn, All]
So kiss me where I lay down (Ooh-ooh)
My hands pressed to your cheeks (Ooh-ooh)
A long way from the playground (Ooh-ooh)

[Chorus: All, Zayn]
I have loved you since we were eighteen
Long before we both thought the same thing
To be loved and to be in love
And all I can do is say that these arms were made for holdin' you, oh
And I wanna love like you made me feel
When we were eighteen

[Post-Chorus: Niall]
When we were eighteen
Oh, lord
When we were eighteen

[Bridge: Zayn]
Kiss me where I lay down
My hands pressed to your cheeks
A long way from the playground

[Breakdown: Louis, All]
I have loved you since we were eighteen
Long before we both thought the same thing
To be loved and to be in love

[Chorus: All, Zayn, Harry]
And all I can do is say that these arms were made for holdin' you, oh
And I wanna love like you made me feel
When we were eighteen (Eighteen)

[Outro: All, Harry, Niall]
I wanna love like you made me feel
When we were eighteen (Eighteen, yeah)
I wanna love like you made me feel
When we were eighteen
	
I got a heart and I got a soul 
Believe me I wanna use them both

We made a start be it a false one I know
Baby I don't want to feel alone

So kiss me where I lay down
My hands pressed to your cheeks
A long way from the playground

I have loved you since we were 18
Long before we both thought the same thing
To be loved and to be in love
And all I could do is say that these arms were made for holding you oh oh oh whoa
I wanna love like you made me feel
When we were 18

We took a chance
God knows we tried 
Yet all along I knew we'd be fine

So pour me a drink oh love
Let’s split the night wide open
And we'll see everything we can living love in slow motion motion motion

So kiss me where I lay down 
My hands pressed to your cheeks
A long way from the playground

I have loved you since we were 18
Long before we both thought the same thing
To be loved and to be in love
And all I could do is say that these arms were made for holding you oh oh oh no
And I wanna love like you made me feel when we were 18
When we were 18 
When we were 18

Kiss me where I lay down 
My hands pressed to your cheeks
A long way from the playground
I have loved you since we were 18
Long before we both thought the same thing
To be loved and to be in love

And all I could do is say that these arms were made for holding you oh oh oh I
And I wanna love like you made me feel when we were 18
And I wanna love like you made me feel when we were 18"
2,"""A.M.""",One Direction,"Niall Horan, Liam Payne, Harry Styles, Louis Tomlinson, Ed Drewett, John Ryan, Julian Bunetta",Made in the A.M.,2015,"[Intro: Harry]
Won't you stay till the A.M.?
All my favourite conversations
Always made in the A.M
Yeah, yeah

[Verse 1: Niall]
Feels like this could be forever tonight
Break these clocks, forget about time
There could be a World War III goin' on outside
You and me were raised in the same part of town
Got these scars on the same ground
Remember how we used to kick around just wastin' time?

[Chorus: All, Harry]
Won't you stay till the A.M.?
All my favourite conversations
Always made in the A.M
'Cause we don't know what we're sayin'
We're just swimmin' 'round in our glasses
And talkin' out of our asses
Like we're all gonna make it, yeah, yeah

[Verse 2: Liam]
Feels like this could be forever right now
Don't wanna sleep 'cause we're dreamin' out loud
Trying to behave, but you know that we never learnt how
You and me were raised in the same part of town
Got these scars on the same ground
Remember how we used to kick around just wasting time?

[Chorus: All, Louis]
Won't you stay till the A.M.?
All my favourite conversations
Always made in the A.M
'Cause we don't know what we're sayin'
We're just swimming 'round in our glasses
And talkin' out of our asses
Like we're all gonna make it, yeah, yeah

[Bridge: Harry, Harry & Liam]
Ooh
You know I'm always coming back to this place
Ooh
You know and I say
Ooh
You know I'm always gonna look for your face
Ooh
You know

[Chorus: Harry, Louis, All]
Won't you stay till the A.M.?
All my favourite conversations
Always made in the A.M
'Cause we don't know what we're sayin'
We're just swimmin' 'round in our glasses
And talkin' out of our asses
Like we're all gonna make it, yeah, yeah

[Outro: Louis, Harry]
Won't you stay till the A.M.? (Ooh)
You know I'm always coming back to this place
Won't you stay till the A.M.? Yeah, yeah (Ooh)
You know and I say
Won't you stay till the A.M.? (Ooh)
You know I'm always gonna look for your face
Won't you stay 'til the A.M.? Yeah, yeah (Ooh)"
3,"""Act My Age""",One Direction,"John Ryan, Julian Bunetta, Ed Drewett",Four,2014,"[Intro]
One, two, three, four

[Verse 1: Niall, Liam]
When I'm fat and old and my kids think I'm a joke
'Cause I move a little slow when I dance
I can count on you after all that we've been through
'Cause I know that you'll always understand

[Chorus: All]
I won't act my age, no, I won't act my age
No, I'll still feel the same around you
Hey!

[Verse 2: Louis, Zayn]
When I'm fat and old and my kids think I'm a joke
'Cause the stories that I told, I tell again and again
I can count on you after all we got up to
'Cause I know that you truly understand

[Chorus: All, Zayn]
I won't act my age, no, I won't act my age
No, I'll still feel the same around you
I won't act my age, no, I won't act my age (Act my age, no, I'll—)
No, I'll still feel the same, you will, too
Hey!



[Bridge: Harry]
When I can hardly walk and my hair is fallin' out
We'll still stay up till mornin', we'll throw the after-party
Oh, yeah, oh, yeah

[Chorus: All, Zayn]
I won't act my age, no, I won't act my age (Act my age, no, I'll—)
No, I'll still feel the same around you
I won't act my age, no, I won't act my age (Act my age, no, I'll—)
No, I'll still feel the same, you will, too
Hey!"
4,"""Alive""",One Direction,"Julian Bunetta, John Ryan, Jamie Scott, Louis Tomlinson",Midnight Memories,2013,"[Verse 1: Liam]
My mother told me I should go and get some therapy
I asked the doctor, ""Can you find out what is wrong with me?""
I don't know why I wanna be with every girl I meet
I can't control it, yeah, I know it's takin' over me

[Pre-Chorus: Liam, Zayn]
I'm going crazy, can't contain it
So tell me just what I should do

[Chorus: All]
She said, ""Hey, it's alright, does it make you feel alive?
Don't look back, live your life, even if it's only for tonight""
She said, ""Hey, it's alright if it makes you feel alive""

[Verse 2: Niall]
Went to a party just after the doctor talked to me
I met a girl, I took her hand up to the balcony
I whispered somethin' in her ear that I just can't repeat
She said, ""Okay,"" but she was worried what her friends would think

[Pre-Chorus: Liam, Zayn]
She's going crazy, can't contain it
She asked me, ""What should I do?"" Oh

[Chorus: All]
I said, ""Hey, it's alright, does it make you feel alive?
Don't look back, live your life, even if it's only for tonight""
I said, ""Hey, it's alright if it makes you feel alive""

[Bridge: Louis]
We gotta live before we get older
Do what we like, we got nothing to lose
Shake off the weight of the world from your shoulders
Woah, we've got nothing to prove

[Breakdown: Liam]
I said, ""Hey, it's alright, does it make you feel alive?
Don't look back, live your life, even if it's only for tonight""

[Chorus: All]
I said, ""Hey (Hey!), it's alright, does it make you feel alive?
Don't look back (Hey!), live your life, even if it's only for tonight""
I said, ""Hey (Hey!), it's alright if it makes you feel alive"""
5,"""Another World""",One Direction,"Achraf Jannusi, Bilal Hajji, Eric Sanicola, Geo Slam, RedOne, Teddy Sky",Up All Night,2011,"[Verse 1: Liam]
It's not me, it's not you, there's a reason
I'm just tryna read the signals I'm receivin'
Just like a stone on fire, can you feel it?
I don't know about you, girl, but I believe it

[Pre-Chorus: Niall]
Words will be just words
Till you bring them to life

[Chorus: All]
I'll lift you up, I'll never stop
You know I'll take you to another world
I'll build you up, I'll never stop
You know I'll take you to another world
Everyday, in every way, oh-oh-oh
I'll lift you up, I'll never stop
You know I'll take you to another world

[Verse 2: Zayn]
One for me, one for you, whatcha doin'?
Girl, the music sounds so good when you're movin'
Let me take you higher, let me prove it
'Cause, hey, hey, pretty girl, I believe it

[Pre-Chorus: Niall]
Words will be just words
Till you bring them to life
[Chorus: All, Zayn]
I'll lift you up, I'll never stop
You know I'll take you to another world
I'll build you up, I'll never stop
You know I'll take you to another world
Everyday, in every way (In every way, yeah, yeah), oh-oh-oh
I'll lift you up, I'll never stop
You know I'll take you to another world

[Post-Chorus: All]
Take you to another world
You know I'll take you to another world

[Bridge: Louis]
Baby, let me find out your secret
Just let me in and let me show you that I keep it
Close to my heart, jump in the deep end
Just let me in and let me show you what I'm meanin'

[Builtup: Harry]
I'll lift you up, I'll never stop
You know I'll take you to another world
I'll build you up, I'll never stop
You know I'll take you to another world

[Chorus: All, Zayn]
Everyday (Everyday), in every way (In every way, yeah, yeah), oh-oh-oh
I'll lift you up, I'll never stop
You know I'll take you to another world (Take you to another world)"
6,"""Back For You""",One Direction,"Kristoffer Fogelmark, Savan Kotecha, Albin Nedler, Rami Yacoub, Liam Payne, Harry Styles, Louis Tomlinson, Niall Horan",Take Me Home,2012,"[Verse 1: Liam, Harry]
Whenever I close my eyes, I picture you there
I'm lookin' out at the crowd, you're everywhere
I'm watching you from the stage, yeah
Your smile is on every face now
But every time you wake up, you're hearing me say goodbye

[Chorus: All]
Baby, you don't have to worry
I'll be coming back for you
Back for you, back for you, you
Lately, I've been going crazy
So I'm coming back for you
Back for you, back for you, you

[Verse 2: Louis, Harry]
I've never been so into somebody before
And every time we both touch, I only want more
So tell me nothing's gonna change, yeah
And you won't ever walk away, yeah
'Cause even though every night you'll know what I'll say, goodbye

[Chorus: All]
Baby, you don't have to worry
I'll be coming back for you
Back for you, back for you, you
Lately, I've been going crazy
So I'm coming back for you
Back for you, back for you, you

[Bridge: Louis]
Right back for you, oh-woah
Right back for you, right back for you

[Breakdown: Liam, Zayn]
Lately, I've been going crazy
So I'm coming back
Yeah, I am coming back for you

[Chorus: All, Zayn, Harry]
Baby, you don't have to worry
I'll be coming back for you
Back for you, back for you, for you (For you, woah)
Lately, I've been going crazy (Crazy, yeah)
So I'm coming back for you
Back for you, back for you, you (Yeah)

[Outro: All, Harry]
Right back for you, right back
Right back for you, right back
Right back for you, right back
Right back for you (C'mon)
Lately, I've been going crazy
So I'm coming back for you
Back for you, back for you, you"
7,"""Best Song Ever""",One Direction,"Wayne Hector, John Ryan, Ed Drewett, Julian Bunetta",Midnight Memories,2013,"[Verse 1: Harry]
Maybe it's the way she walked (Ow!)
Straight into my heart and stole it
Through the doors and past the guards (Ow!)
Just like she already owned it

[Pre-Chorus: Zayn]
I said, ""Can you give it back to me?""
She said, ""Never in your wildest dreams""

[Chorus: All]
And we danced all night to the best song ever
We knew every line, now I can't remember
How it goes, but I know that I won't forget her
'Cause we danced all night to the best song ever

[Post-Chorus: All]
I think it went, ""Oh, oh, oh,"" I think it went, ""Yeah, yeah, yeah""
I think it goes (Woo!)

[Verse 2: Liam, Harry]
Said her name was Georgia Rose (Ow!)
And her daddy was a dentist
Said I had a dirty mouth (I got a dirty mouth)
But she kissed me like she meant it

[Pre-Chorus: Niall]
I said, ""Can I take you home with me?""
She said, ""Never in your wildest dreams""

[Chorus: All, Zayn]
And we danced all night to the best song ever
We knew every line, now I can't remember (How it goes, but I know)
How it goes, but I know that I won't forget her
'Cause we danced all night to the best song ever

[Post-Chorus: All]
I think it went, ""Oh, oh, oh,"" I think it went, ""Yeah, yeah, yeah""
I think it goes (Woo!)

[Bridge: Louis, Zayn, All, Harry]
You know, I know, you know I'll remember you
And I know, you know, I know you'll remember me
And you know, I know, you know I'll remember you (Oh, oh, oh, yeah, yeah, yeah)
And I know, you know, I hope you'll remember how we danced(Oh, oh, oh, yeah, yeah, yeah, oh, oh, oh, yeah, yeah, yeah)
How we danced (Oh, oh, oh, one, two, one, two, three, ow!)

[Chorus: All, Zayn, Harry]
How we danced all night to the best song ever (How we danced)
We knew every line, now I can't remember (We knew every line)
How it goes, but I know that I won't forget her
'Cause we danced all night (We danced, we danced) to the best song ever (It goes something like this)
And we danced all night to the best song ever (Oh, oh, oh, yeah, yeah, yeah)
We knew every line, now I can't remember (Oh, oh, oh, yeah, yeah, yeah)
How it goes, but I know that I won't forget her (Oh, oh, oh, yeah, yeah, yeah, I know that I won't forget her)
'Cause we danced all night to the best song ever (Oh, oh, oh, yeah, yeah, yeah, best song ever)

[Post-Chorus: All]
I think it went, ""Oh, oh, oh,"" I think it went, ""Yeah, yeah, yeah""
I think it goes (Woo!)

[Outro: Zayn]
Best song ever
It was the best song ever
It was the best song ever
It was the best song ever"
8,"""Better Than Words""",One Direction,"Jamie Scott, Julian Bunetta, John Ryan, Liam Payne, Louis Tomlinson",Midnight Memories,2013,"[Intro: Liam]
Ooh

[Verse 1: Harry, Liam]
Better than words
More than a feeling (Ow)
Crazy in love
Dancing on the ceiling (Ha)
Every time we touch, I'm all shook up
You make me wanna, how deep is your love?
God only knows, baby

[Chorus: All, Zayn]
(Ooh) I don't know how else to sum it up
'Cause words ain't good enough
(Ooh) There's no way I can explain your love, no
(Ah-ooh) I don't know how else to sum it up
'Cause words ain't good enough
(Ooh) I can't explain your love, no
It's better than words

[Post-Chorus: Niall, Harry, Liam]
(Oh-oh-oh, oh-oh-oh)
Better than words
(Oh-oh-oh)

[Verse 2: Louis, Niall, Liam, Harry]
Better than words
You drive me crazy
Someone like you
Always be my baby
Best I ever had, hips don't lie (Hey)
You make me wanna (Tss) one more night
Irreplaceable (Yeah)
Crazy, we're crazy

[Chorus: All, Harry]
(Ah-ooh) I don't know how else to sum it up
'Cause words ain't good enough
(Ooh) There's no way I can explain your love, no
(There's no way I can explain your love)
(Ah-ooh) I don't know how else to sum it up
'Cause words ain't good enough
(Ooh) I can't explain your love, no

[Bridge: Louis, Harry, Louis & Harry]
Everyone tries (They try)
To see what it feels like (Feels like)
But they'll never be right
'Cause it's better, it's better, it's better

[Interlude: Liam, Harry]
Ooh, ooh-ooh, ooh-ooh-ooh-ooh-ooh
Ooh-ooh, ah-ah
One more time
Ooh, ooh-ooh, ooh-ooh-ooh-ooh-ooh
Better than words, ah-ah
Yeah

[Chorus: All, Zayn, Harry, Zayn & Harry]
(Ah-ooh) I don't know how else to sum it up (I don't know)
'Cause words ain't good enough
(Ooh) There's no way I can explain your love, no
(Ah-ooh) I don't know how else to sum it up (To sum it up)
'Cause words ain't good enough (The words ain't good enough)
(Ooh) I can't explain your love, no (Explain your love, no)
It's better than words

[Post-Chorus: Niall, Zayn, Liam]
(Oh-oh-oh, oh-oh-oh)
It's better than words
(Oh-oh-oh)
It's better than words
(Oh-oh-oh, oh-oh-oh)
(Oh-oh-oh)"
9,"""C'mon, C'mon""",One Direction,"Jamie Scott, John Ryan, Julian Bunetta",Take Me Home,2012,"[Intro: Harry, Liam]
C'mon, c'mon (Ooh)

[Verse 1: Zayn]
The one that I came with
She had to go
But you look amazing
Standing alone

[Pre-Chorus: Liam, Louis, Harry]
So, c'mon, c'mon
Move a little closer now
C'mon, c'mon
Ain't no way you're walking out
C'mon, c'mon
Show me what you're all about

[Chorus: All]
Yeah, I've been watching you all night
There's something in your eyes
Saying, ""C'mon, c'mon, and dance with me, baby""
Yeah, the music is so loud, I wanna be yours now
So c'mon, c'mon, and dance with me, baby

[Verse 2: Niall & Zayn, Liam]
The one that I came with
Didn't know how to move (Oh-oh-oh-oh)
The way that you let your hair down
I can tell that you do

[Pre-Chorus: Liam, Louis, Harry]
So, c'mon, c'mon
Move a little closer now
C'mon, c'mon
Ain't no way you're walking out
C'mon, c'mon
Show me what you're all about

[Chorus: All]
Yeah, I've been watching you all night
There's something in your eyes
Saying, ""C'mon, c'mon, and dance with me, baby""
Yeah, the music is so loud, I wanna be yours now
So c'mon, c'mon, and dance with me, baby

[Bridge: Harry]
And every step I take, I feel it more and more
She's calling out, she's a lucky girl
My heart is racing, she's turning around
I reach for her hand and I say

[Chorus: Zayn, All]
Hey, I've been watching you all night
There's something in your eyes
Saying, ""C'mon, c'mon, and dance with me, baby""
Yeah, the music is so loud, I wanna be yours now
So c'mon, c'mon, and dance with me, baby

[Outro: Zayn, Harry, Liam, All]
Yeah, yeah
C'mon, c'mon (Ooh)
C'mon, c'mon (Ooh)
C'mon, c'mon, and dance with me, baby"
10,"""Change My Mind""",One Direction,"Rami Yacoub, Carl Falk, Savan Kotecha",Take Me Home,2012,"[Verse 1: Louis]
The end of the night, we should say goodbye
But we carry on while everyone's gone

[Pre-Chorus: Zayn]
Never felt like this before, are we friends or are we more?
As I'm walking towards the door, I'm not sure

[Chorus: Liam]
But, baby, if you say you want me to stay, I'll change my mind
'Cause I don't wanna know I'm walkin' away if you'll be mine
Won't go, won't go
So, baby, if you say you want me to stay, stay for the night
I'll change my mind

[Verse 2: Liam]
Lean in when you laugh, we take photographs
There's no music on, but we dance along

[Pre-Chorus: Harry]
Never felt like this before, are we friends or are we more?
As I'm walking towards the door, I'm not sure

[Chorus: Zayn]
But, baby, if you say you want me to stay, I'll change my mind
'Cause I don't wanna know I'm walkin' away if you'll be mine
Won't go, won't go
So, baby, if you say you want me to stay, stay for the night
I'll change my mind
[Post-Chorus: Zayn]
I'll change my mind

[Bridge: Niall]
But, baby, if you say you want me to stay, I'll change my mind

[Chorus: Harry, Zayn]
But, baby, if you say you want me to stay, I'll change my mind
'Cause I don't wanna know I'm walkin' away if you'll be mine
Won't go, won't go
So, baby, if you say you want me to stay, stay for the night
I'll change my mind"
